,MemberID,Name,DOB,SSN,Plan,Coverage,EffectiveDate
0,66550557,Nicole Durham,2024-04-09,415903602,Medical PPO,Platinum,2025-01-16
1,79114177,Lindsay Velez,1989-10-19,230818934,Medical HDHP,Bronze,2024-12-14
2,33816824,Michael Farmer,1973-03-02,714878829,Medical PPO,Platinum,2025-04-16
3,68362109,Kevin Tapia,1922-01-18,255020827,Dental Premium,Bronze,2025-03-13
4,98141980,Kerri Lopez,1942-08-29,087515952,Dental Premium,Platinum,2025-11-17
5,65278694,Bobby Cohen,1975-05-11,842797783,Medical PPO,Bronze,2025-07-09
6,17792294,Vanessa Morse,1967-02-10,859168084,Dental Premium,Silver,2025-06-01
7,83615444,Emily Moore,1960-07-03,595477439,Dental Premium,Silver,2025-06-22
8,79461358,Katherine Warren,1938-12-24,086637073,Medical PPO,Gold,2025-02-25
9,12361765,Amber Harper,1929-07-08,277382277,Medical HDHP,Silver,2025-01-22
10,95516035,Richard Watson,2023-10-30,556114653,Vision Core,Silver,2025-08-04
11,69310891,Pamela Kelly,1978-01-27,609801224,Vision Premium,Gold,2025-01-27
12,23894073,Christian Nguyen,1971-10-22,162427258,Dental Premium,Silver,2024-12-02
13,71099567,Megan Soto,2023-01-18,239800867,Medical PPO,Bronze,2025-09-01
14,02858192,Christina Jones,1998-04-06,219526585,Dental Premium,Bronze,2025-04-15
15,78018273,Michael Flores,2012-12-10,601876332,Medical HDHP,Gold,2025-10-01
16,66792591,Gregory Garcia,1923-10-31,026776467,Medical HDHP,Gold,2025-02-22
17,21032568,Jeffery Hansen,1976-10-16,714664994,Dental Basic,Silver,2025-08-09
18,40216127,Leah Torres,1994-09-11,876831695,Medical PPO,Bronze,2025-02-12
19,78419538,Jenna Moreno,1984-02-24,561763366,Medical PPO,Platinum,2025-04-10
20,95871453,Claire Foster,1945-11-12,118744259,Medical PPO,Silver,2025-01-26
21,13049599,Tammy Yu,1915-03-24,490411678,Vision Premium,Silver,2025-03-22
22,66245526,Erica Gould,2002-03-13,712356995,Medical PPO,Platinum,2025-08-18
23,29787421,Karen Kennedy,1948-09-06,543847414,Dental Premium,Platinum,2025-11-11
24,35196835,Debra Mendez,1958-08-30,519011108,Medical HDHP,Silver,2025-03-29
25,70583632,Henry Reed,2013-11-15,036530466,Medical PPO,Bronze,2025-11-05
26,74863989,Austin Williams,1946-07-16,225824998,Vision Premium,Silver,2025-02-11
27,22322040,Laura Kelly,1959-12-10,721631257,Medical HDHP,Platinum,2025-04-12
28,86546183,Leslie Burton,2002-01-10,410752205,Medical PPO,Gold,2025-01-04
29,58933727,Brian Hill,2004-02-05,545068465,Medical PPO,Silver,2025-05-22
30,67154979,Joseph Lewis,1912-05-16,039010275,Medical HDHP,Platinum,2024-11-27
31,01658872,Eric Hernandez,2009-07-16,319977805,Vision Core,Gold,2025-06-10
32,26893148,Samuel Castillo,2016-10-05,044894741,Dental Basic,Silver,2024-11-26
33,23579282,Kimberly Thomas,1918-12-10,253720546,Medical PPO,Gold,2025-09-03
34,44255075,Ryan Dyer,2014-07-08,845387384,Medical PPO,Platinum,2025-03-07
35,32061170,Brad Barnes,1965-03-14,544512752,Dental Basic,Bronze,2025-06-26
36,25116384,David Patton,1996-07-19,441609740,Medical HDHP,Platinum,2024-12-23
37,57207551,Jeffrey Webb,2005-10-20,045816403,Dental Basic,Gold,2025-03-21
38,03655671,Anna Sutton,1962-09-20,069982198,Medical PPO,Gold,2025-09-11
39,87306621,Justin Nash,2013-03-19,655695775,Vision Core,Silver,2025-03-21
40,70237663,Brittany Long,1921-04-23,147942773,Medical PPO,Gold,2025-10-16
41,88541438,Randall Munoz,1999-04-27,275848712,Vision Core,Platinum,2025-05-16
42,94214783,Nicole Novak,1940-11-05,119104232,Medical HDHP,Platinum,2025-10-08
43,91227560,Jane King,1942-10-02,189577421,Dental Premium,Gold,2024-11-22
44,18921994,Laura Farmer,2018-10-12,421415258,Medical PPO,Platinum,2025-05-11
45,77435725,Matthew Baker,1951-05-24,443516837,Vision Core,Bronze,2025-09-27
46,10807562,Wanda Jackson,1919-04-21,120363683,Medical PPO,Gold,2025-05-30
47,35821183,Melissa Mccullough,1940-06-15,701462639,Medical HDHP,Platinum,2025-09-28
48,13431466,Kathy Lynch,2019-12-25,509414477,Vision Core,Silver,2025-02-26
49,18857879,Jeffrey Cordova,2022-11-15,626016128,Medical PPO,Bronze,2025-10-10
50,44684748,Daniel Hall,1964-12-24,775356968,Medical PPO,Platinum,2025-06-29
51,37309526,Christian Santiago,1992-04-30,572195940,Medical PPO,Silver,2025-05-15
52,14282543,Daniel Murphy,1931-10-30,095754913,Medical PPO,Platinum,2025-11-14
53,68037291,Edgar Patterson,2019-02-01,884148340,Dental Basic,Gold,2025-08-25
54,88224159,Amber Burch,1924-01-10,860684326,Medical HDHP,Gold,2025-07-02
55,66170876,Jacqueline Long,1913-06-29,648039250,Dental Basic,Silver,2025-05-11
56,27609708,Eugene Waller,1994-08-25,866830350,Vision Premium,Bronze,2025-01-27
57,06233844,Alan Duke,1998-02-19,441334118,Medical PPO,Silver,2025-11-10
58,14331901,Ashley Mcgee,1971-03-23,470248564,Medical HDHP,Platinum,2025-07-21
59,90018319,Sylvia Hansen,2009-05-16,289264557,Dental Basic,Gold,2025-10-27
60,16209270,Pamela Hernandez,1922-04-17,229963309,Dental Premium,Bronze,2025-04-21
61,42423642,Heidi Brown,1973-02-15,179867571,Medical HDHP,Bronze,2025-04-16
62,81692402,Jose Hines,1914-06-03,006632503,Vision Premium,Bronze,2025-03-23
63,55675132,Cassandra Tyler,2003-12-08,245034259,Vision Premium,Platinum,2024-11-23
