,employee_id,first_name,last_name,dob,ssn,hire_date,termdate,plan_name,coverage_level,effective_date
0,66550557,Nicole,Durham,2024-04-09,415-90-3602,2025-11-16,2012-04-12,PPO–Med Plan,Gold,2025-01-16
1,79114177,Lindsay,Velez,1989-10-19,230-81-8934,2023-06-15,2023-07-16,Medical HDHP,Gold,2024-12-14
2,33816824,Michael,Farmer,1973-03-02,714-87-8829,2025-08-05,2016-12-17,Med_PPO,Bronze,2025-04-16
3,68362109,Kevin,Tapia,1922-01-18,255-02-0827,2012-11-26,2022-04-19,Dental Premium,Silver,2025-03-13
4,98141980,Kerri,Lopez,1942-08-29,087-51-5952,2009-03-11,2000-04-11,Dental – Premium Plan,Bronze,2025-11-17
5,65278694,Bobby,Cohen,1975-05-11,842-79-7783,2021-09-14,2007-12-20,Med_PPO,Silver,2025-07-09
6,17792294,Vanessa,Morse,1967-02-10,859-16-8084,2020-06-10,2001-01-27,Dental – Premium Plan,Silver,2025-06-01
7,83615444,Emily,Moore,1960-07-03,595-47-7439,2009-06-01,2002-01-04,Dental Premium,Silver,2025-06-22
8,79461358,Katherine,Warren,1938-12-24,086-63-7073,2016-02-08,2025-11-22,MED PPO – Core,Bronze,2025-02-25
9,12361765,Amber,Harper,1929-07-08,277-38-2277,2023-11-13,2001-10-19,HDHP – Medical,Gold,2025-01-22
10,95516035,Richard,Watson,2023-10-30,556-11-4653,2010-07-12,2006-08-29,VISION Core Option,Bronze,2025-08-04
11,69310891,Pamela,Kelly,1978-01-27,609-80-1224,2018-06-17,2025-01-20,VIS-BUYUP,Bronze,2025-01-27
12,23894073,Christian,Nguyen,1971-10-22,162-42-7258,2013-07-16,2004-12-21,Dental – Premium Plan,Gold,2024-12-02
13,71099567,Megan,Soto,2023-01-18,239-80-0867,2014-05-23,2024-11-02,FSA_VOYA,Platinum,2025-09-01
14,02858192,Christina,Jones,1998-04-06,219-52-6585,2014-07-16,2004-10-10,Premium Dental Coverage,Platinum,2025-04-15
15,78018273,Michael,Flores,2012-12-10,601-87-6332,2025-08-03,2011-08-13,Medical HDHP,Silver,2025-10-01
16,66792591,Gregory,Garcia,1923-10-31,026-77-6467,2013-04-17,2015-03-10,Medical HDHP,Platinum,2025-02-22
17,21032568,Jeffery,Hansen,1976-10-16,714-66-4994,2022-02-03,2018-02-01,Basic Dental Plan,Silver,2025-08-09
18,40216127,Leah,Torres,1994-09-11,876-83-1695,2023-12-19,2012-04-26,fsa-variation-1,Platinum,2025-02-12
19,78419538,Jenna,Moreno,1984-02-24,561-76-3366,2025-05-06,2009-05-31,PPO Medical,Bronze,2025-04-10
20,95871453,Claire,Foster,1945-11-12,118-74-4259,2020-08-14,2002-03-19,Medical PPO Core,Bronze,2025-01-26
21,13049599,Tammy,Yu,1915-03-24,490-41-1678,2021-10-31,2013-04-05,vision-buy-up,Bronze,2025-03-22
22,66245526,Erica,Gould,2002-03-13,712-35-6995,2014-04-14,2006-02-11,PPO–Med Plan,Silver,2025-08-18
23,29787421,Karen,Kennedy,1948-09-06,543-84-7414,2024-12-29,2005-03-25,Premium Dental Coverage,Silver,2025-11-11
24,35196835,Debra,Mendez,1958-08-30,519-01-1108,2024-09-29,2000-01-24,High Deductible Medical,Gold,2025-03-29
25,70583632,Henry,Reed,2013-11-15,036-53-0466,2023-05-11,2007-08-18,PPO–Med Plan,Bronze,2025-11-05
26,74863989,Austin,Williams,1946-07-16,225-82-4998,2015-09-28,2022-02-23,vision-buy-up,Bronze,2025-02-11
27,22322040,Laura,Kelly,1959-12-10,721-63-1257,2010-02-07,2008-10-08,High Deductible Medical,Gold,2025-04-12
28,86546183,Leslie,Burton,2002-01-10,410-75-2205,2008-06-24,1997-08-26,Medical PPO Core,Bronze,2025-01-04
29,58933727,Brian,Hill,2004-02-05,545-06-8465,2022-01-20,2018-07-21,Medical PPO Core,Bronze,2025-05-22
30,67154979,Joseph,Lewis,1912-05-16,039-01-0275,2014-02-22,2025-09-11,High Deductible Medical,Gold,2024-11-27
31,01658872,Eric,Hernandez,2009-07-16,319-97-7805,2007-11-05,1997-07-12,VISION Core Option,Gold,2025-06-10
32,26893148,Samuel,Castillo,2016-10-05,044-89-4741,2013-07-24,2000-07-30,Basic Dental Plan,Platinum,2024-11-26
33,23579282,Kimberly,Thomas,1918-12-10,253-72-0546,2020-01-28,2022-06-13,MED PPO – Core,Silver,2025-09-03
